ArtistID;FirstName;LastName;ArtistURL;Biography;Country;Photo;PhotoCredit;Website
2;Rick;Switzer;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=2;;;;;
5;Joe Y.;Wai Architect, Inc;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=5;"Joe Y. Wai Architect, Inc. was established in 1978 and incorporated in 1994. The firm  includes Joe Wai, Qi Wan, and Vincent Law. The main focus is on cultural/community projects and multiple housing. They have designed numerous projects including Britannia Community Place in Vancouver; the Taoist Worship Centre and Senior Housing Project and the Canada Asian Centre, Surrey; the Portland Chinese Classical Garden; the Seattle Art Museum and others. In 2001 Joe Wai received the AIBC Barbara Dalrymple Memorial Award for Community Service - a lifetime achievement recognition - and an Honorary Doctorate of Letters from the Emily Carr Institute of Art and Design.";Canada;;;
8;Franklin;Allen;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=8;Franklin Allen works with the Corner Group Architects in Vancouver.;;;;
59;Joe;David;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=59;A renowned artist and carver in the Clayoquot tradition;Canada;;;
9;Edward;Apt;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=9;"Apt was a one of 196 students at the Sopron University Forestry Program in Hungary who fled the country with their instructors during the bloody uprising in 1956. He settled in Vancouver in 1957 and apprenticed with sculptors Andy Zborowsky and Elek Imredy in 1959-60. He later created a plaque for UBC to commemorate the Hungarian students. He organized the Rochdale College Sculpture Shop at the free school in 1969, encouraging those interested to come and learn sculpture techniques, promising they could be ""making a living by spring.""";;;;
11;Michael;Banwell;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=11;"Banwell is a sculptor and activist based in Vancouver. He graduated from the VSA in 1970 and taught there until his retirement in 2000. His work reflects an interest in architecture and its relationship to space.  He has installed several unofficial temporary public art works including one in the space between two buildings called ""3 Hills between 3520 and 3528 Commercial.""  ""Community"" for Artropolis 1994 was a piece using the familiar public sign of a circle with a bar through it to designate drug-free and prostitution-free zones in the downtown east side. He has participated in numerous group shows and in 1994 he had a one-man show at the Or Gallery, Vancouver.  His recent work addresses the commodification and consumption of nature.";Canada;https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=11&ImageId=514;2002;
14;James;Benzie;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=14;;Canada;;;
16;James;Blomfield;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=16;;;;;
32;Leonhard;Epp;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=32;Epp was born in 1932 in Heidelberg, Germany, and came to Canada in 1951. He worked largely in ceramic sculpture. He taught at the Vancouver School of Art from 1962-1972 and moved to Falkland, BC.;Canada;;;
505;Tierney;Milne;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=505;;;;;
19;Gwen;Boyle;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=19;Gwen Boyle lives and works in Vancouver. She is interested in the fusion of art and science in natural forces in her work.;Canada;;;
21;John;Bruce;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=21;;;;;
23;Dale;Chihuly;https://covapp.vancouver.ca/PublicArtRegistry/ArtistDetail.aspx?FromArtistIndex=False&ArtistId=23;"In 1968 Chihuly was awarded a Fulbright Fellowship to study at the Venini factory in Venice. He was inspired by their team approach to blowing glass. He co-founded the Pilchuck Glass School in Washington in 1971. Chihuly has exhibited broadly with numerous solo exhibitions in US, Europe, Japan and South America. His work is in major collections throughout the world and he has completed a number of private indoor architectural installations. Vancouver is his first public art outdoor commission. He has been awarded Honorary Doctorates from: Cal.College of Arts and Crafts, 1988; University of Puget sound, 1986; Rhode Island School of Design, 1986, where he established a glass program and taught for ten years.";USA;;;
